Time (s),Cart Position (m),Cart Velocity (m/s),Pole Angle (rad),Pole Angular Velocity (rad/s),Control Input (N),Q0,Q1,Q2,Q3,R
1740036673.5821,0.0043,-0.1069,-0.0036,0.1296,3.0760,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.5920,0.0032,-0.0981,-0.0023,0.1156,2.9162,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.6021,0.0023,-0.1275,-0.0012,0.1592,4.7392,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.6121,0.0009,-0.1139,0.0005,0.1381,4.4219,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.6220,-0.0001,-0.1411,0.0017,0.1788,6.1888,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.6333,-0.0013,-0.1315,0.0032,0.1642,6.0774,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.6421,-0.0024,-0.1190,0.0045,0.1457,5.7516,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.6521,-0.0038,-0.1032,0.0062,0.1222,5.3907,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.6621,-0.0047,-0.1357,0.0073,0.1717,7.4425,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.6722,-0.0057,-0.0724,0.0084,0.0775,4.4083,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.6822,-0.0062,-0.0946,0.0090,0.1119,5.7908,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.6920,-0.0069,-0.0460,0.0097,0.0401,3.4364,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.7021,-0.0073,-0.0881,0.0100,0.1044,5.8338,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.7120,-0.0079,-0.0395,0.0106,0.0327,3.4687,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.7220,-0.0082,-0.0530,0.0108,0.0545,4.3209,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.7321,-0.0087,-0.0429,0.0114,0.0407,3.9967,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.7420,-0.0090,-0.0435,0.0116,0.0434,4.1810,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.7521,-0.0092,-0.0097,0.0117,-0.0057,2.5007,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.7621,-0.0093,-0.0104,0.0116,-0.0029,2.5886,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.7720,-0.0092,0.0096,0.0114,-0.0311,1.5593,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.7821,-0.0091,0.0137,0.0110,-0.0356,1.3291,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.7921,-0.0089,0.0229,0.0106,-0.0477,0.8137,11.1111,0.2500,25.0000,0.2500,0.0044
